epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.441,1.25971,3.14798,2.60802,1.4562,0.92756,0.61972,0.82279,0.53879,0.92756,0.61972,0.82119,0.38549,1.02054,2.62503,2.73277,1.3801,0.000650794,0.000650794,0.000650794
2,126.37,1.17665,2.37868,1.70768,1.27103,0.63307,0.83099,0.68653,0.48748,0.63307,0.83099,0.68832,0.37079,0.92453,2.56797,2.24019,1.23022,0.00130442,0.00130442,0.00130442
3,176.901,1.11533,2.16707,1.4028,1.20992,0.84731,0.71831,0.78756,0.53942,0.84731,0.71831,0.78656,0.3637,1.15503,3.17101,2.53882,1.6438,0.00194484,0.00194484,0.00194484
4,228.221,1.10839,2.05291,1.22386,1.19981,0.95492,0.73239,0.85963,0.66215,0.95492,0.73239,0.85963,0.48302,0.80382,2.19355,1.44242,1.20801,0.0019406,0.0019406,0.0019406
5,278.343,1.05327,2.05198,1.08787,1.18553,0.73954,0.92958,0.86933,0.6156,0.73954,0.92958,0.87147,0.49824,0.98938,1.9749,1.22362,1.23416,0.0019208,0.0019208,0.0019208
6,326.547,0.97724,1.97897,0.96842,1.14355,0.98401,0.87324,0.91486,0.71048,0.98401,0.87324,0.91569,0.55931,0.8094,2.02858,0.95927,1.14776,0.001901,0.001901,0.001901
7,375.501,0.98707,1.94998,0.88675,1.13627,0.87575,0.92958,0.95393,0.73041,0.87575,0.92958,0.95393,0.57247,0.81343,1.83422,1.48533,1.10231,0.0018812,0.0018812,0.0018812
8,425.496,0.93416,1.82548,0.80647,1.09612,0.9824,0.88732,0.95441,0.77662,0.9824,0.88732,0.95985,0.63697,0.71886,1.54699,0.60105,1.09348,0.0018614,0.0018614,0.0018614
9,475.054,0.93243,1.81224,0.75411,1.11303,0.93589,0.94366,0.97956,0.79962,0.93589,0.94366,0.97956,0.60781,0.67782,1.68759,0.93145,1.00412,0.0018416,0.0018416,0.0018416
10,525.228,0.88978,1.71234,0.69333,1.09071,0.95929,0.99573,0.99173,0.83737,0.95929,0.99573,0.99173,0.67667,0.59317,1.57517,0.74529,0.97798,0.0018218,0.0018218,0.0018218
11,574.374,0.87202,1.69442,0.67445,1.08059,0.91445,0.94366,0.97846,0.83233,0.91445,0.94366,0.97846,0.55503,0.63411,2.04541,0.50187,0.99745,0.001802,0.001802,0.001802
12,625.829,0.81756,1.64645,0.6252,1.05484,0.97037,0.90141,0.98488,0.78372,0.97037,0.90141,0.98488,0.62343,0.66587,1.53754,0.46816,1.04045,0.0017822,0.0017822,0.0017822
13,675.999,0.82596,1.65521,0.61587,1.04921,0.98457,0.89868,0.98174,0.8092,0.98457,0.89868,0.98174,0.65483,0.66642,1.51289,0.49556,1.03928,0.0017624,0.0017624,0.0017624
14,727.479,0.82199,1.5782,0.61334,1.06106,0.9901,0.97183,0.9942,0.85819,0.9901,0.97183,0.9942,0.71926,0.55892,1.31455,0.37116,0.96753,0.0017426,0.0017426,0.0017426
15,777.573,0.78608,1.56823,0.56434,1.03766,0.89467,0.98592,0.9848,0.85525,0.89467,0.98592,0.9848,0.72476,0.51855,1.28326,0.43605,0.92797,0.0017228,0.0017228,0.0017228
16,828.131,0.78376,1.52155,0.57178,1.03214,0.99789,0.98592,0.9941,0.83535,0.99789,0.98592,0.9941,0.6891,0.53147,1.38727,0.36995,0.9543,0.001703,0.001703,0.001703
17,878.167,0.7531,1.53791,0.54349,1.0307,0.99884,1,0.995,0.84686,0.99884,1,0.995,0.73462,0.60543,1.33034,0.37307,1,0.0016832,0.0016832,0.0016832
18,930.543,0.73927,1.51651,0.52624,1.00757,0.99784,1,0.995,0.89264,0.99784,1,0.995,0.7415,0.49946,1.23969,0.36215,0.9605,0.0016634,0.0016634,0.0016634
19,980.457,0.75186,1.45753,0.5474,1.01876,0.98586,0.98236,0.98578,0.86502,0.9829,1,0.99139,0.73647,0.48591,1.28358,0.34321,0.92564,0.0016436,0.0016436,0.0016436
20,1031.32,0.67579,1.35158,0.47954,0.98286,0.99942,0.94366,0.98321,0.84092,0.99942,0.94366,0.98321,0.72991,0.55337,1.23453,0.35265,1.00145,0.0016238,0.0016238,0.0016238
21,1080.59,0.724,1.41809,0.50305,1.00861,0.99685,1,0.995,0.90218,0.99685,1,0.995,0.74988,0.46074,1.21141,0.33011,0.91776,0.001604,0.001604,0.001604
22,1131.52,0.71152,1.43071,0.51602,0.99841,0.99853,1,0.995,0.86275,0.99853,1,0.995,0.71749,0.56225,1.39725,0.34934,0.95701,0.0015842,0.0015842,0.0015842
23,1182.91,0.73169,1.4327,0.5115,1.00797,0.99861,1,0.995,0.85155,0.99861,1,0.995,0.73242,0.52341,1.27903,0.31777,0.96173,0.0015644,0.0015644,0.0015644
24,1234.05,0.68995,1.39788,0.48301,0.99469,0.998,1,0.995,0.87935,0.998,1,0.995,0.73986,0.48614,1.24752,0.31163,0.94331,0.0015446,0.0015446,0.0015446
25,1285.96,0.68385,1.38077,0.46949,0.99243,0.99875,1,0.995,0.90247,0.99875,1,0.995,0.76079,0.46654,1.16624,0.31387,0.91573,0.0015248,0.0015248,0.0015248
26,1336.31,0.67262,1.36846,0.46061,0.98332,0.97988,1,0.99472,0.89278,0.97988,1,0.99472,0.75008,0.47049,1.23104,0.33095,0.90566,0.001505,0.001505,0.001505
27,1388.17,0.67127,1.33251,0.46631,0.9827,0.97218,0.98428,0.99403,0.87902,0.97218,0.98428,0.99403,0.77383,0.49835,1.1559,0.35803,0.92366,0.0014852,0.0014852,0.0014852
28,1438.01,0.66438,1.33575,0.43919,0.97856,0.99842,1,0.995,0.84232,0.99842,1,0.995,0.7302,0.53118,1.24752,0.32048,0.97546,0.0014654,0.0014654,0.0014654
29,1489.73,0.66006,1.30502,0.44237,0.97896,0.99907,1,0.995,0.86657,0.99907,1,0.995,0.77731,0.44995,1.08064,0.28106,0.94208,0.0014456,0.0014456,0.0014456
30,1540.3,0.64742,1.34273,0.44781,0.97269,0.9955,1,0.995,0.89674,0.9955,1,0.995,0.72231,0.44893,1.28296,0.31108,0.92547,0.0014258,0.0014258,0.0014258
31,1591.31,0.61202,1.25707,0.4073,0.96361,0.93248,1,0.9927,0.87675,0.93248,1,0.9927,0.76645,0.43817,1.12068,0.33035,0.9132,0.001406,0.001406,0.001406
32,1642.83,0.61561,1.27958,0.41417,0.9689,0.99886,1,0.995,0.89841,0.99886,1,0.995,0.77072,0.43016,1.13985,0.2758,0.90519,0.0013862,0.0013862,0.0013862
33,1694.47,0.59143,1.23236,0.412,0.95467,0.98354,1,0.99375,0.91423,0.98354,1,0.99375,0.79753,0.43842,1.11592,0.25725,0.91568,0.0013664,0.0013664,0.0013664
34,1745.22,0.58491,1.20224,0.3884,0.94538,0.999,1,0.995,0.88353,0.999,1,0.995,0.76211,0.41061,1.04343,0.25998,0.90235,0.0013466,0.0013466,0.0013466
